name,micro_f1,macro_f1,p50_latency_ms,p90_latency_ms,p99_latency_ms,latency_variance_ms,throughput_seq_per_sec,inference_memory_delta_mb,final_memory_retained_mb
nltk_hmm,0.9428442343327462,0.5695957347582641,1.4391869990504347,3.654358290077653,6.417629867355572,2.030051050187955,557.7080422959637,5.671875,97.671875
hmmlearn_hmm,0.9353797397903394,0.548918973704021,0.42531250073807314,0.47687079349998385,0.5744054917886389,0.0019178696675396171,2303.4940093798036,0.871875,0.171875
crf,0.9620620338783288,0.6897030236773277,0.05491649790201336,0.1294045068789274,0.22668299250653945,0.0024606027816579633,15202.88757044015,1.5423446875,1.046875
bilstm-batch-1,0.979505379019532,0.8069050543751501,61.9089165047626,142.68565440725075,249.53184250567602,2872.9596208983235,13.608465526220531,18.4375,-1863.234375
bilstm-batch-128,0.979505379019532,0.8069050543751501,12.960228515680683,18.41227116403843,33.8540511015708,27.597464997222172,73.93919976715992,582.4375,-352.96875
bilstm-batch-128-smart-batching,0.979505379019532,0.8069050543751501,8.487803382763559,20.417687499957538,34.20831412506686,74.62039444710776,97.31478861487872,163.55,346.5
dynamic-quantized-bilstm-batch-128,0.979505379019532,0.8066250324087995,15.878857750067255,22.732455406298868,32.61506542969528,34.50820040712733,61.81455253709006, 119.328125,35.25
weight-only-quantized-bilstm-batch-128,0.979538118030683,0.8077855409399067,12.208394531285194,19.739428390607827,29.564148109329835,26.354295410878805,77.28262016223532,77.046875,139.171875
transformer-batch-1,0.991304518638319,0.901910071396552,42.20168699976057,45.26368750084657,49.12830624001799,4658.203404404064,23.67746769268716,53.140625,-561.109375
transformer-batch-128,0.991304518638319,0.901910071396552,9.034708984358986,11.989247718815932,21.076765625025473,8.355199042499102,107.44146129525339,1150.8125,-1368.703125
transformer-batch-128-smart-batching,0.991304518638319,0.901910071396552,4.000475257726066,6.454716796838511,11.349586257779265,6.15669515944266,235.80517437595253,315.984375,-165.53125
dynamic-quantized-transformer-batch-128,0.9911866581981758,0.9020953591087663,46.99294042973179,63.53655273437653,190.8922239531421,542.5833606585481,19.658226560807975,475.484375,-901.390625
weight-only-quantized-transformer-batch-128,0.9913110664405492,0.9021165305697088,8.301847656298378,11.5523828123969,75.76174967186944,75.54714372523793,105.03476947921166,257.484375,1004.46875
onnx-transformer-batch-128,0.991304518638319,0.901910071396552,33.204400718773286,44.82300846882481,82.49079362497014,124.97958682462172,29.161430338351018,299.765625,-1380.25
