name,micro_f1,macro_f1,p50_latency_ms,p90_latency_ms,p99_latency_ms,latency_variance_ms,throughput_seq_per_sec,inference_memory_delta_mb,final_memory_retained_mb
nltk_hmm,0.869872979668882,0.8037495558724821,0.49516699800733477,1.3619581965031102,2.7743980090599454,0.3390749206082134,1517.083272529127,2.1434,2.25
hmmlearn_hmm,0.8748672775177947,0.7936282068528707,0.13270899944473058,0.15586680092383176,0.24315992486663057,0.0004317418291368607,7223.063079757011,0.5123,0.015625
crf,0.9321247394706831,0.9129106196894692,0.024916997062973678,0.06864999886602166,0.13272307114675583,0.0007888765264060153,30401.97594860158,1.2,0.0
bilstm-batch-1,0.9180856502418498,0.8497028688988263,222.7142079937039,623.6547580017941,1191.6174437588734,63771.11613662921,3.405418611391118,15.3242,-559.34375
bilstm-batch-128,0.9180856502418498,0.8497028688988263,27.81500585933827,46.6274550781236,48.742120445353976,86.47554052368838,34.227066787433,521.43242,709.4375
bilstm-batch-128-smart-batching,0.9180856502418498,0.8497028688988263,19.898751625078148,39.38717057030772,100.75393965485875,220.30172340622136,44.50582822744845,145.213123,96.171875
dynamic-quantized-bilstm-batch-128,0.9180069998820245,0.8493007186593341,31.476028648398824,50.35530208601813,52.72601822650813,94.24467425831834,30.36184551679176,95.12341,23.59375
weight-only-quantized-bilstm-batch-128,0.9180069998820245,0.8488442711522428,28.510217445386843,45.530058265626394,49.18965006254439,78.05760181984441,33.4424119659393,65.123151,4.953125
transformer-batch-1,0.942821188406937,0.8408196462137203,39.53966598783154,43.087466395809315,48.57989499811076,735.0989955835684,25.130083146682075,45.12415,-899.203125
transformer-batch-128,0.942821188406937,0.8408196462137203,8.702596679654562,15.302604171779421,41.976373374950526,69.90869503963896,91.36313617189423,980.235235,684.015625
transformer-batch-128-smart-batching,0.942821188406937,0.8408196462137203,5.742160484373926,15.98078157803684,43.727185875013674,92.85425914722684,115.39928658241541,283.32415,211.171875
dynamic-quantized-transformer-batch-128,0.9410908804907783,0.836492896878155,48.477204749929115,87.11425553121899,226.56228157813985,2078.990244759477,16.432376946087185,420.235235,564.890625
weight-only-quantized-transformer-batch-128,0.9427032128671988,0.8396152359046362,8.087289062473246,23.113202796935184,38.68281542963814,69.1772120982605,92.41485036643826,252.671875,148.75
onnx-transformer-batch-128,0.942821188406937,0.8408196462137203,32.46649642187549,57.872866859383976,159.12074511709307,1026.9090115034564,24.888475098675123, 265.40625,473.015625
